StateCode,StandardComponentId,TwoParentFamilyMaxDependentsRule,SingleParentFamilyMaxDependentsRule,DependentMaximumAgRule,ChildrenOnlyContractMaxChildrenRule,DomesticPartnerAsSpouseIndicator,SameSexPartnerAsSpouseIndicator,MinimumTobaccoFreeMonthsRule,MarketCoverage,DentalOnlyPlan
NJ,53877NJ0230001,3 or more,3 or more,21,3 or more,No,No,Not Applicable,,
NJ,53877NJ0200001,3 or more,3 or more,21,3 or more,No,No,Not Applicable,,
PA,59656PA0020001,,,Not Applicable,,,,,,
PA,59656PA0010002,,,26,,,,,,
PA,71933PA0010001,,,Not Applicable,3 or more,,,Not Applicable,,
PA,71933PA0010002,,,Not Applicable,3 or more,,,Not Applicable,,
PA,71933PA0020001,,,Not Applicable,3 or more,,,Not Applicable,,
PA,71933PA0020002,,,Not Applicable,3 or more,,,Not Applicable,,
PA,71933PA0010003,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
PA,71933PA0010004,3 or more,3 or more,26,,Yes,Yes,Not Applicable,,
TX,47665TX0010001,,,Not Applicable,3 or more,,,Not Applicable,,
TX,47665TX0010002,,,Not Applicable,3 or more,,,Not Applicable,,
FL,49193FL0140001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,,
FL,49193FL0130001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,,
FL,49193FL0150001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,,
FL,49193FL0040001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,,
FL,49193FL0020001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,,
FL,49193FL0010001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,,
FL,49193FL0070001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,,
FL,49193FL0040002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
FL,49193FL0020002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
FL,49193FL0010002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
FL,49193FL0070002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,,
FL,97725FL0010001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
FL,97725FL0010002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
FL,97725FL0010004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,,
FL,97725FL0010006,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,,
FL,97725FL0020001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
FL,97725FL0020002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
FL,97725FL0020004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,,
FL,97725FL0020006,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,,
FL,97725FL0030001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
FL,97725FL0030002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
FL,97725FL0030004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,,
FL,97725FL0030006,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,,
FL,97725FL0040001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
FL,97725FL0040002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,,
FL,97725FL0040004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,,
