StateCode,StandardComponentId,TwoParentFamilyMaxDependentsRule,SingleParentFamilyMaxDependentsRule,DependentMaximumAgRule,ChildrenOnlyContractMaxChildrenRule,DomesticPartnerAsSpouseIndicator,SameSexPartnerAsSpouseIndicator,MinimumTobaccoFreeMonthsRule,MarketCoverage,DentalOnlyPlan
IA,77847IA0010002,3 or more,3 or more,Not Applicable,3 or more,No,No,Not Applicable,SHOP (Small Group),Yes
IA,85930IA0060001,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
IA,85930IA0060002,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
IA,85930IA0060003,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
IA,85930IA0060004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
IA,85930IA0060005,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
IA,85930IA0060006,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
IA,85930IA0060007,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
IA,86010IA0030001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IA,86010IA0040001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IA,86010IA0040002,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IA,89617IA0040001,3 or more,3 or more,25,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IA,89617IA0040002,3 or more,3 or more,25,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,35670IL0070008,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,35670IL0070009,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,35670IL0070010,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,35670IL0070011,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0760001,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0760002,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0760003,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0760004,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0760005,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0760006,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0760010,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0770001,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0770002,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0770003,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0830003,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IL,36096IL0830004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IL,36096IL0840001,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,36096IL0840002,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,36096IL0840003,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,36096IL0840004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,36096IL0840005,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,36096IL0840006,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,36096IL0840007,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,36096IL0840008,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,36096IL0840009,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,39096IL0010001,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
KS,18558KS0370004,3 or more,3 or more,25,1,No,No,6,SHOP (Small Group),No
KS,18558KS0370005,3 or more,3 or more,25,1,No,No,6,SHOP (Small Group),No
KS,18558KS0370015,3 or more,3 or more,25,1,No,Yes,6,SHOP (Small Group),No
KS,18558KS0370016,3 or more,3 or more,25,1,No,Yes,6,SHOP (Small Group),No
KS,18558KS0370017,3 or more,3 or more,25,1,No,Yes,6,SHOP (Small Group),No
KS,18558KS0370018,3 or more,3 or more,25,1,No,Yes,6,SHOP (Small Group),No
KS,18558KS0370019,3 or more,3 or more,25,1,No,Yes,6,SHOP (Small Group),No
KS,21004KS0010001,3 or more,3 or more,30,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
KS,21004KS0010002,3 or more,3 or more,30,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
KS,21004KS0010003,3 or more,3 or more,30,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
KS,21004KS0010004,3 or more,3 or more,30,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
KS,21004KS0010005,3 or more,3 or more,30,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
KS,21004KS0010006,3 or more,3 or more,30,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
KS,21004KS0010007,3 or more,3 or more,30,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
KS,38804KS0010001,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
KS,38804KS0010002,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
KS,51687KS0010001,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
KS,51687KS0010002,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
KS,51687KS0010003,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
KS,51687KS0010004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,58288IL0380039,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,58288IL0380040,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,58288IL0380041,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,58288IL0380042,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,59928IL0030001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,59928IL0030002,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,59928IL0040001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,59928IL0040002,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,60600IL0010001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IL,60600IL0010002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IL,60600IL0010003,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IL,60600IL0010004,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IL,60600IL0030002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,79763IL0620004,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,79763IL0630001,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,79763IL0630002,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,79763IL0670001,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,79763IL0670002,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,79763IL0670003,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,79763IL0690001,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,79763IL0690002,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,79763IL0690003,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,79763IL0700001,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,79763IL0700002,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,79763IL0700003,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,79763IL0720001,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,79763IL0720002,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
KS,63790KS0010012,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
KS,63790KS0020001,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
KS,63790KS0020002,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
KS,63790KS0020003,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
KS,63790KS0020004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
KS,63790KS0020005,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
KS,63790KS0020006,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IL,16724IL0010001,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,16724IL0010002,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,16724IL0010003,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,16724IL0010004,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,16724IL0010005,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,16724IL0010006,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,16724IL0010007,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,16724IL0010008,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,16724IL0010010,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,16724IL0010011,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,17522IL0010001,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,17522IL0010002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,17522IL0010003,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,36096IL0800004,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800005,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800006,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800008,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800013,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800014,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800015,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800016,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800017,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800018,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800019,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800020,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800021,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800022,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
KS,18558KS0360016,3 or more,3 or more,25,1,No,Yes,6,Individual,No
KS,18558KS0360017,3 or more,3 or more,25,1,No,Yes,6,Individual,No
KS,18558KS0360018,3 or more,3 or more,25,1,No,Yes,6,Individual,No
KS,18558KS0360019,3 or more,3 or more,25,1,No,Yes,6,Individual,No
KS,18558KS0360021,3 or more,3 or more,25,1,No,Yes,6,Individual,No
KS,18558KS0360023,3 or more,3 or more,25,1,No,Yes,6,Individual,No
KS,18558KS0360025,3 or more,3 or more,25,1,No,Yes,6,Individual,No
KS,18558KS0360026,3 or more,3 or more,25,1,No,Yes,6,Individual,No
KS,18558KS0360027,3 or more,3 or more,25,1,No,Yes,6,Individual,No
KS,18558KS0360031,3 or more,3 or more,25,1,No,Yes,6,Individual,No
KS,18558KS0360033,3 or more,3 or more,25,1,No,Yes,6,Individual,No
KS,18558KS0360035,3 or more,3 or more,25,1,No,Yes,6,Individual,No
KS,18558KS0360036,3 or more,3 or more,25,1,No,Yes,6,Individual,No
IL,17522IL0010004,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,18715IL0010001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IL,18715IL0010004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IL,18715IL0010009,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IL,18715IL0020001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,18715IL0020004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,18715IL0020009,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,20129IL0270012,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0270015,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0270018,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0270021,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0270029,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0270032,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0280011,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0280014,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0280023,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0280026,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0280032,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0280035,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0290011,3 or more,3 or more,26,1,Yes,Yes,6,Individual,No
IL,20129IL0290013,3 or more,3 or more,26,1,Yes,Yes,6,Individual,No
IL,20129IL0300012,3 or more,3 or more,26,1,Yes,Yes,6,Individual,No
IL,20129IL0300013,3 or more,3 or more,26,1,Yes,Yes,6,Individual,No
IL,20129IL0300014,3 or more,3 or more,26,1,Yes,Yes,6,Individual,No
IL,20129IL0300015,3 or more,3 or more,26,1,Yes,Yes,6,Individual,No
IL,20129IL0300016,3 or more,3 or more,26,1,Yes,Yes,6,Individual,No
IL,20129IL0300018,3 or more,3 or more,26,1,Yes,Yes,6,Individual,No
IL,20129IL0310007,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0310013,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0310016,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0310022,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0310031,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0310034,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0310037,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0320011,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0320014,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0320017,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0320020,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0320023,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0320026,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0320029,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0320032,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0330014,3 or more,3 or more,26,1,Yes,Yes,6,Individual,No
IL,20129IL0330015,3 or more,3 or more,26,1,Yes,Yes,6,Individual,No
IL,20129IL0330017,3 or more,3 or more,26,1,Yes,Yes,6,Individual,No
IL,20129IL0330018,3 or more,3 or more,26,1,Yes,Yes,6,Individual,No
IL,20129IL0330020,3 or more,3 or more,26,1,Yes,Yes,6,Individual,No
IL,20129IL0330021,3 or more,3 or more,26,1,Yes,Yes,6,Individual,No
IL,20129IL0340012,3 or more,3 or more,26,1,Yes,Yes,6,Individual,No
IL,20129IL0350009,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0350012,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0350015,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0350018,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0350021,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0360002,3 or more,3 or more,26,1,Yes,Yes,6,SHOP (Small Group),No
IL,20129IL0370007,3 or more,3 or more,26,1,Yes,Yes,6,Individual,No
IL,20129IL0370008,3 or more,3 or more,26,1,Yes,Yes,6,Individual,No
IL,20129IL0370009,3 or more,3 or more,26,1,Yes,Yes,6,Individual,No
IL,20129IL0370010,3 or more,3 or more,26,1,Yes,Yes,6,Individual,No
IL,20545IL0010001,3 or more,3 or more,Not Applicable,3 or more,No,No,Not Applicable,SHOP (Small Group),Yes
IL,20545IL0010002,3 or more,3 or more,Not Applicable,3 or more,No,No,Not Applicable,SHOP (Small Group),Yes
IL,30680IL0030001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,30680IL0030002,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,30680IL0040001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,30680IL0040002,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,35670IL0060001,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,35670IL0060002,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,35670IL0060003,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,35670IL0060004,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,35670IL0060006,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,35670IL0070001,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,35670IL0070002,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,35670IL0070003,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,35670IL0070004,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,35670IL0070006,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,35670IL0070007,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,58288IL0380026,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,58288IL0380027,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,58288IL0380028,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,58288IL0380029,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,58288IL0380030,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,58288IL0380037,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,58288IL0380038,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,79763IL0500001,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,79763IL0500002,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,79763IL0500003,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,79763IL0500004,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,79763IL0510002,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,79763IL0520001,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,79763IL0520002,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,79763IL0550001,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,79763IL0550002,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,79763IL0550004,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
ME,33653ME0120001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,Individual,No
ME,33653ME0130001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,Individual,No
ME,33653ME0140001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,Individual,No
ME,33653ME0160001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
ME,33653ME0170001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
ME,33653ME0200001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
ME,33653ME0210001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
ME,33653ME0230001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
ME,33653ME0240001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
ME,33653ME0280001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
ME,33653ME0290001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
ME,46874ME0040001,3 or more,3 or more,25,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IL,36096IL0770004,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0770005,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0770006,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0770020,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0790001,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790002,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790003,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790004,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790005,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790006,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790008,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790009,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790010,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790011,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790012,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790013,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790014,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790015,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790016,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790017,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790018,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790019,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790020,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790021,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790022,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790023,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790024,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790025,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790026,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790027,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790028,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790029,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790030,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790031,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790032,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790037,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790038,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790039,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0790040,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
IL,36096IL0800001,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800002,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800003,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800023,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800024,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800025,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800026,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800027,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800028,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
IL,36096IL0800029,3 or more,3 or more,25,3 or more,Yes,Yes,6,SHOP (Small Group),No
